Config,Aspect_Ratio_Type,Width,Depth,Aspect_Ratio,Mu_Eff_Simulation,Mu_Eff_Analytical,Mu_Eff_Enhanced,Mu_Eff_Opening,Ratio_Sim,Ratio_Analytical,Ratio_Enhanced,Ratio_Opening,Relative_Error_Analytical,Relative_Error_Enhanced,Relative_Error_Opening,Total_Mass,Mouth_Flux_Total
h_equals_w_h0.01,h_equals_w,0.01,0.01,1.0,0.9955122686883131,1.0013048926613537,0.9999534625892456,1.7956880280583476,0.9955122686883131,1.0013048926613537,0.9999534625892456,1.7956880280583476,0.5818736900824889,0.4461214633531505,80.37829211530924,1.1494712834320138,0.00017383251281025727
h_equals_w_h0.0129,h_equals_w,0.0129,0.0129,1.0,0.9953943088585455,1.0016833115331463,0.999924067237009,1.823349527942599,0.9953943088585455,1.0016833115331463,0.999924067237009,1.823349527942599,0.6318101900554944,0.45507175781001946,83.178616927547,1.1494400387082204,0.00022662303492452065
h_equals_w_h0.0167,h_equals_w,0.0167,0.0167,1.0,0.9955935231779176,1.0021791707444607,0.9998758987397153,1.8953816692755463,0.9955935231779176,1.0021791707444607,0.9998758987397153,1.8953816692755463,0.6614795509639158,0.43013292695279887,90.37705902560718,1.1494001405159397,0.00030322255923017044
h_equals_w_h0.0215,h_equals_w,0.0215,0.0215,1.0,0.9955471856574074,1.0028055192219105,0.999800519609994,1.7666901376046649,0.9955471856574074,1.0028055192219105,0.999800519609994,1.7666901376046649,0.7290798135007626,0.4272357969429612,77.45920666111219,1.149389465506362,0.0003637188742330504
h_equals_w_h0.0278,h_equals_w,0.0278,0.0278,1.0,0.9959094001660757,1.0036276015985632,0.9996791180016122,1.9470043026043786,0.9959094001660757,1.0036276015985632,0.9996791180016122,1.9470043026043786,0.7749903185169766,0.37852015804931255,95.50014311338968,1.1492840023396802,0.0005104800402598446
h_equals_w_h0.0359,h_equals_w,0.0359,0.0359,1.0,0.9957546268242954,1.0046845646542597,0.9994895319923857,1.9248476223924262,0.9957546268242954,1.0046845646542597,0.9994895319923857,1.9248476223924262,0.8968010380673871,0.37508288362182146,93.3054158664806,1.1492275491091362,0.000647580511451648
h_equals_w_h0.0464,h_equals_w,0.0464,0.0464,1.0,0.9963910407483125,1.0060547019486812,0.9991948417084623,2.017089230048685,0.9963910407483125,1.0060547019486812,0.9991948417084623,2.017089230048685,0.9698663280945427,0.2813956414184577,102.4395189797978,1.1491094059507536,0.0008644087664548041
h_equals_w_h0.0599,h_equals_w,0.0599,0.0599,1.0,0.9960530052638719,1.0078163070415087,0.9987469913372657,1.9794759600533365,0.9960530052638719,1.0078163070415087,0.9987469913372657,1.9794759600533365,1.1809915451759059,0.27046613575350836,98.73199012425435,1.1490100746590821,0.0010839226933412383
h_equals_w_h0.0774,h_equals_w,0.0774,0.0774,1.0,0.9961696495569424,1.0100998691988776,0.9980711776598907,1.9891625968653335,0.9961696495569424,1.0100998691988776,0.9980711776598907,1.9891625968653335,1.398378242915834,0.19088396276618427,99.68110830821193,1.1488693779682755,0.001387100719477176
h_equals_w_h0.1,h_equals_w,0.1,0.1,1.0,0.9964319403456406,1.013048926613537,0.9970710678118655,1.9851750643993122,0.9964319403456406,1.013048926613537,0.9970710678118655,1.9851750643993122,1.6676488975385757,0.06414160770510369,99.22836513156112,1.148708079914649,0.0017610455244976783
h_equals_w_h0.12,h_equals_w,0.12,0.12,1.0,0.9965467572758466,1.0156587119362444,0.996090398349559,1.9649960163819626,0.9965467572758466,1.0156587119362444,0.996090398349559,1.9649960163819626,1.917818157638888,0.045794030531501786,97.18051381286537,1.1485910203809175,0.0020704926060257406
h_equals_w_h0.15,h_equals_w,0.15,0.15,1.0,0.9967347495886313,1.0195733899203054,0.9944868329805051,1.9255912707572862,0.9967347495886313,1.0195733899203054,0.9944868329805051,1.9255912707572862,2.2913458511504725,0.2255280664242848,93.18994060877371,1.148442289273635,0.0025055800995826007
h_equals_w_h0.2,h_equals_w,0.2,0.2,1.0,0.9971702587407497,1.026097853227074,0.9915470053837926,1.8605124561514381,0.9971702587407497,1.026097853227074,0.9915470053837926,1.8605124561514381,2.9009684387152355,0.5639210864610326,86.57921652225544,1.1482580495646177,0.003184094165677806
h_equals_w_h0.25,h_equals_w,0.25,0.25,1.0,0.9976770752935435,1.0326223165338422,0.9883630620956212,1.7969833892644103,0.9976770752935435,1.0326223165338422,0.9883630620956212,1.7969833892644103,3.5026605407382743,0.9335699324535367,80.11673654380493,1.1481409313834474,0.0038142042683517656
h_equals_w_h0.35,h_equals_w,0.35,0.35,1.0,0.9976678066267111,1.0456712431473791,0.9814991582276862,1.6826396132284271,0.9976678066267111,1.0456712431473791,0.9814991582276862,1.6826396132284271,4.811565152430454,1.6206444962571156,68.65730276671202,1.148071281765073,0.004978020166806694
h_equals_w_h0.5,h_equals_w,0.5,0.5,1.0,0.998030898029141,1.0652446330676846,0.9704124145231932,1.534907583580776,0.998030898029141,1.0652446330676846,0.9704124145231932,1.534907583580776,6.734634686288141,2.7672974414406806,53.79359362639281,1.1483044280700472,0.006552998188143967
h_equals_w_h0.75,h_equals_w,0.75,0.75,1.0,0.9980871059879771,1.097866949601527,0.9507247877713764,1.3496096057806637,0.9980871059879771,1.097866949601527,0.9507247877713764,1.3496096057806637,9.997107768943746,4.745309095013123,35.21962138211622,1.1494377260650184,0.008987963634465539
h_equals_w_h1.0,h_equals_w,1.0,1.0,1.0,0.9977225344322473,1.1304892661353692,0.9301511344577764,1.2130094051282139,0.9977225344322473,1.1304892661353692,0.9301511344577764,1.2130094051282139,13.306979357609933,6.772564279398815,21.577829834070574,1.1514174580307415,0.011354787049512755
h_equals_2w_h0.01,h_equals_2w,0.005,0.01,2.0,0.9957882325146528,1.0015941376018491,0.9999564354645876,2.4538671584639817,0.9957882325146528,1.0015941376018491,0.9999564354645876,2.4538671584639817,0.5830461635939174,0.41858327040166876,146.42459895988716,1.149443015273982,0.0001178895720538608
h_equals_2w_h0.0129,h_equals_2w,0.00645,0.0129,2.0,0.9955665651298677,1.0020564375063854,0.999930068254745,2.577059649262488,0.9955665651298677,1.0020564375063854,0.999930068254745,2.577059649262488,0.6518772931743725,0.43829345798771463,158.85357539365745,1.149404552930138,0.00015864575176985696
h_equals_2w_h0.0167,h_equals_2w,0.00835,0.0167,2.0,0.9956566050786672,1.0026622097950881,0.9998879504971222,2.688236036146843,0.9956566050786672,1.0026622097950881,0.9998879504971222,2.688236036146843,0.7036165562189447,0.424980399554596,169.99630419108652,1.1493557495075823,0.00021249803181358655
