geometry,width_mm,depth_mm,aspect_ratio,mu_factor,avg_conc_sulc,avg_conc_rect,flux_sulc_y0,flux_rect_bottom,CR,flux_ratio,flux_error_pct
deep_large,0.4,2.0,5.0,0.1,0.2681704443637861,0.2939937661349202,0.2954200377331804,0.2847831342179077,0.9121637097594676,0.9639939673798302,-3.600603262016981
deep_medium,0.5,1.5,3.0,0.1,0.27089885521066664,0.29399376613491596,0.29474661215044645,0.2847827081584673,0.9214442155428191,0.9661950177500486,-3.380498224995143
deep_small,0.3,1.0,3.3333333333333335,0.1,0.27889836126303175,0.2939937661348778,0.29242975808564203,0.2847830487366081,0.9486539967486227,0.9738511244577425,-2.614887554225757
largest,1.0,2.0,2.0,0.1,0.25745073231252324,0.29399376613489775,0.297193992011461,0.28478319881789027,0.8757013310084715,0.9582400939212387,-4.1759906078761295
macro_square,1.0,1.0,1.0,0.1,0.27554449132581554,0.29399376613489775,0.2918503894549872,0.28478319881789027,0.9372460339835341,0.9757848853644003,-2.4215114635599697
micro_depth_wide,1.0,0.05,0.05,0.1,0.2936483472612119,0.2939937661348901,0.2848099116743895,0.2847831957164616,0.9988250809593028,0.999906197232495,-0.009380276750500632
micro_square,0.01,0.01,1.0,0.1,0.29385007018489384,0.29399376613493033,0.2848036133017093,0.2847830171854531,0.9995112279014429,0.9999276830935626,-0.0072316906437336955
micro_width_deep,0.05,1.0,20.0,0.1,0.2851270239305692,0.29399376613493033,0.2891657049772953,0.2847830171854531,0.9698403734169939,0.9848436805734403,-1.5156319426559655
mod_deep_large,1.0,1.5,1.5,0.1,0.26591063265497394,0.29399376613489775,0.2950994772644928,0.28478319881789027,0.9044771123921111,0.9650413530304012,-3.4958646969598774
mod_deep_small,0.5,0.8,1.6,0.1,0.280518587872072,0.29399376613491596,0.2912633395051952,0.2847827081584673,0.9541650884642905,0.977749924320248,-2.2250075679751964
mod_wide_large,1.0,0.9,0.9,0.1,0.27761409509439505,0.29399376613489775,0.29104908324338435,0.28478319881789027,0.9442856518495465,0.9784713823673021,-2.15286176326979
mod_wide_medium,0.8,0.6,0.7499999999999999,0.1,0.2840221199131747,0.2939937661349134,0.28898703526357344,0.28478274051555424,0.966082116798481,0.9854516146574374,-1.4548385342562622
mod_wide_small,0.5,0.3,0.6,0.1,0.28976124449507035,0.29399376613491596,0.286824398941271,0.2847827081584673,0.9856033626308142,0.992881739523067,-0.711826047693294
reference,0.5,1.0,2.0,0.1,0.27738863119405394,0.29399376613491596,0.29254767541559085,0.2847827081584673,0.9435187515736582,0.9734574296442701,-2.6542570355729906
square_large,0.7,0.7,1.0,0.1,0.2820431969894018,0.29399376613493344,0.29008161476569944,0.2847830559879539,0.9593509437201918,0.9817342481976142,-1.826575180238575
square_medium,0.5,0.5,1.0,0.1,0.2858777011921759,0.29399376613491596,0.2887740449227992,0.2847827081584673,0.9723937515769789,0.9861783396586111,-1.3821660341388822
square_small,0.2,0.2,1.0,0.1,0.2909405625767204,0.29399376613493033,0.28651162924293017,0.2847830171854531,0.9896147336783712,0.9939666949573925,-0.6033305042607432
very_deep_extreme,0.1,2.0,20.0,0.1,0.27999176050056934,0.29399376613493033,0.2913198238667672,0.2847830171854531,0.952373120632991,0.9775614079586166,-2.2438592041383436
very_deep_large,0.15,1.8,12.0,0.1,0.2777688282404481,0.29399376613493033,0.2923759457242242,0.2847830171854531,0.9448119662270807,0.9740302557381622,-2.5969744261837837
very_deep_small,0.25,1.5,6.0,0.1,0.275623549635798,0.29399376613489875,0.2935522803619053,0.2847831294373216,0.9375149455016961,0.9701274644714983,-2.9872535528501643
very_wide_large,1.0,0.5,0.5,0.1,0.2861282842302652,0.29399376613491074,0.2876818128767774,0.284783182842509,0.9732460929085274,0.9899241804503297,-1.0075819549670326
very_wide_medium,1.0,0.3,0.3,0.1,0.29012662627866737,0.29399376613491185,0.286025163044498,0.28478317295275707,0.9868461841654497,0.9956577593435453,-0.43422406564547533
very_wide_tiny,1.0,0.2,0.2,0.1,0.2918289394552518,0.29399376613489414,0.28539546691709106,0.28478299659372136,0.9926364878136598,0.9978539591746648,-0.214604082533526
deep_large,0.4,2.0,5.0,0.5,0.14351731771592188,0.15208904970281073,0.6631889281438317,0.662723539786931,0.9436400450680807,0.9992982567453241,-0.0701743254675919
deep_medium,0.5,1.5,3.0,0.5,0.14404793694527349,0.15208904970281964,0.6631223802105299,0.6627214398735098,0.9471289170833903,0.9993953750484296,-0.060462495157048254
deep_small,0.3,1.0,3.3333333333333335,0.5,0.14801802741399162,0.152089049702762,0.6631205370054957,0.6627231387261419,0.9732326403726853,0.9994007148667897,-0.05992851332102803
largest,1.0,2.0,2.0,0.5,0.13478096850399232,0.15208904970280832,0.6633000391493028,0.6627239099641843,0.8861977161890544,0.9991314199440461,-0.08685800559538803
macro_square,1.0,1.0,1.0,0.5,0.14290186979467298,0.15208904970280832,0.6631120119654775,0.6627239099641843,0.9395934163170349,0.9994147263293529,-0.0585273670647139
micro_depth_wide,1.0,0.05,0.05,0.5,0.1517388219243968,0.1520890497028082,0.6627101439047549,0.6627238737300521,0.9976972189707558,1.0000207176929816,0.002071769298164022
micro_square,0.01,0.01,1.0,0.5,0.15205229366373468,0.15208904970276874,0.6626346045780835,0.6627229624364245,0.9997583255395054,1.0001333432599664,0.01333432599663233
micro_width_deep,0.05,1.0,20.0,0.5,0.1507559749611716,0.15208904970276874,0.6625977891725741,0.6627229624364245,0.9912349064958825,1.0001889128908907,0.0188912890890764
mod_deep_large,1.0,1.5,1.5,0.5,0.13867500055086118,0.15208904970280832,0.6633593626503108,0.6627239099641843,0.9118013481038968,0.9990420687158349,-0.0957931284165056
mod_deep_small,0.5,0.8,1.6,0.5,0.1473469902380915,0.15208904970281964,0.6630755685970727,0.6627214398735098,0.9688205069727632,0.9994659300684051,-0.053406993159489595
mod_wide_large,1.0,0.9,0.9,0.5,0.14380041424858,0.15208904970280832,0.6630874830509362,0.6627239099641843,0.9455014317570869,0.9994516966523345,-0.05483033476655393
mod_wide_medium,0.8,0.6,0.7499999999999999,0.5,0.14730978759291952,0.1520890497028241,0.66300558452719,0.6627216231756101,0.9685758960343096,0.9995717059430466,-0.04282940569534309
mod_wide_small,0.5,0.3,0.6,0.5,0.15030707937408647,0.15208904970281964,0.6628568345015833,0.6627214398735098,0.9882833752185636,0.9997957407678005,-0.020425923219942917
reference,0.5,1.0,2.0,0.5,0.14634719451025535,0.15208904970281964,0.6631005017992763,0.6627214398735098,0.96224675475464,0.9994283492099043,-0.05716507900957157
square_large,0.7,0.7,1.0,0.5,0.14693484119698338,0.15208904970276785,0.6630060764063749,0.6627231663038258,0.9661105877388445,0.9995732918405777,-0.04267081594222101
square_medium,0.5,0.5,1.0,0.5,0.14902254803849932,0.15208904970281964,0.6629773987945959,0.6627214398735098,0.9798374592364655,0.9996139251178826,-0.03860748821173589
square_small,0.2,0.2,1.0,0.5,0.15119575472239347,0.15208904970276874,0.6628325860287149,0.6627229624364245,0.9941265003488348,0.999834613453531,-0.01653865464689714
very_deep_extreme,0.1,2.0,20.0,0.5,0.1491142450382802,0.15208904970276874,0.6627631665398048,0.6627229624364245,0.9804403757515595,0.9999393386575928,-0.006066134240719509
very_deep_large,0.15,1.8,12.0,0.5,0.1483506496425437,0.15208904970276874,0.6628208157239498,0.6627229624364245,0.9754196632332763,0.9998523684151072,-0.014763158489287956
very_deep_small,0.25,1.5,6.0,0.5,0.14729205386824684,0.15208904970280787,0.6631340668239457,0.6627235233517537,0.9684592951041862,0.9993809042654703,-0.061909573452971635
very_wide_large,1.0,0.5,0.5,0.5,0.14759653900294614,0.15208904970280993,0.6628510824352103,0.6627238346782838,0.9704613138904978,0.9998080296460269,-0.01919703539730678
very_wide_medium,1.0,0.3,0.3,0.5,0.1495559106827999,0.15208904970280931,0.6627182043408779,0.6627237703963005,0.9833443694667083,1.0000083988268107,0.0008398826810716148
very_wide_tiny,1.0,0.2,0.2,0.5,0.15049395313944194,0.1520890497026242,0.662751101017503,0.662722913914294,0.9895120880411764,0.9999574695490273,-0.00425304509727398
