Domain,Mode,Peclet,U_ref,Sulcus Width (mm),Sulcus Depth (mm),Aspect_Ratio,U_ref (Dim),Diff Coef (Dim),Delta (mm),Total Mass,Sulcus Mass,Main Channel Mass,Avg Concentration,Sulcus Avg Concentration,Main Channel Avg Concentration,Mouth_Flux_Total,Inlet-Outlet Flux,Mouth E_L1,Mouth E_avg,Mouth Q_in,Mouth Q_out,Mouth Net Check,Mouth Length,Max_Ux_mid_channel,Avg_Ux_mid_channel,Max_Ux_sulcus_level,Avg_Ux_sulcus_level,Concentration_Ratio,Channel_Conc_Ratio,Intradomain_Enrichment,VR_mid_avg,VR_mid_max,VR_intradomain_avg,VR_intradomain_max
sulcus,no-uptake,0.1,1.0,1.0,0.2,0.2,3e-05,0.0003,10.0,5.6232255484129166,0.07404403345258755,5.549181514960325,0.5552549502654573,0.5817150021780132,0.5549181514960193,0.0005693459417921497,-5.118427290895511e-07,0.2688935143876413,0.2688935143876413,0.1347314301635703,0.13416208422407094,0.0005693459394993383,1.0,1.0000678234046465,0.9919391462101156,0.3986104873955633,0.20795220233438466,1.0001939826674846,0.9995872990127046,1.0482897353596228,0.9919391462100616,1.0000678234044134,0.20964209662347127,0.3985834541086699
sulcus,no-uptake,1.0,1.0,1.0,0.2,0.2,0.0003,0.0003,1.0,8.630376238818478,0.12269720233208782,8.507679036486397,0.8521904533261762,0.9639507735292387,0.8507679036486195,2.395047343638473e-05,-9.529202861124906e-06,0.060779367584476975,0.060779367584476975,0.030401659028776108,0.030377708555700857,2.395047307524739e-05,1.0,1.0000678234046465,0.9919391462101156,0.3986104873955633,0.20795220233438466,1.001391969876212,0.9997203601811078,1.1330361305301022,0.9919391462100616,1.0000678234044134,0.20964209662347127,0.3985834541086699
sulcus,no-uptake,10.0,1.0,1.0,0.2,0.2,0.003,0.0003,0.1,9.964744319443746,0.12728575535436432,9.837458564089363,0.9839501481604888,1.0000000000081917,0.9837458564089132,-9.310288556273613e-06,-0.000891255243023692,0.05692785559424635,0.05692785559424635,0.028459272652826224,0.028468582941420108,-9.310288593879916e-06,1.0,1.0000678234046465,0.9919391462101156,0.3986104873955633,0.20795220233438466,1.0002076670876383,0.9999999998835319,1.016522706035696,0.9919391462100616,1.0000678234044134,0.20964209662347127,0.3985834541086699
sulcus,no-uptake,0.1,1.0,1.0,0.3,0.3,3e-05,0.0003,10.0,5.659672927375211,0.11104098044496932,5.548631946930241,0.5553634891357679,0.5815659045863539,0.5548631946930026,0.0002873048235414928,-4.4110969765753794e-07,0.3308103610438249,0.3308103610438249,0.16554883293197464,0.16526152811185027,0.0002873048201243733,1.0,1.0000966121210224,0.9905420687222414,0.4062938136749594,0.2091937011413622,1.0003894963228213,0.9994883040129163,1.0481248533850323,0.9905420687221875,1.0000966121207893,0.21119113235767312,0.40625456455980224
sulcus,no-uptake,1.0,1.0,1.0,0.3,0.3,0.0003,0.0003,1.0,8.691107438957133,0.18401345082563028,8.507093988131489,0.8528273300753364,0.9637518378946606,0.8507093988131161,3.5752276019683515e-05,-8.438938636334825e-06,0.08237249707490106,0.08237249707490106,0.04120412467519444,0.04116837239970663,3.5752275487806184e-05,1.0,1.0000966121210224,0.9905420687222414,0.4062938136749594,0.2091937011413622,1.0021403510155695,0.9996516123181819,1.1328802047317894,0.9905420687221875,1.0000966121207893,0.21119113235767312,0.40625456455980224
sulcus,no-uptake,10.0,1.0,1.0,0.3,0.3,0.003,0.0003,0.1,10.028393038797466,0.19093447461456625,9.837458564182908,0.9840503894691198,1.0000000000087457,0.9837458564182529,5.629319660657519e-08,-0.0008798402439670338,0.0780188843270008,0.0780188843270008,0.03900947031007057,0.039009414016930206,5.629314036442733e-08,1.0,1.0000966121210224,0.9905420687222414,0.4062938136749594,0.2091937011413622,1.000309564653932,0.9999999998930259,1.0165227060266082,0.9905420687221875,1.0000966121207893,0.21119113235767312,0.40625456455980224
sulcus,no-uptake,0.1,1.0,1.0,0.5,0.5,3e-05,0.0003,10.0,5.733099388582532,0.1850270696430692,5.548072318939461,0.5556275784846144,0.5814050866947663,0.5548072318939188,0.0002623402556446021,-5.609350619550925e-07,0.3859236453284751,0.3859236453284751,0.19309299279079936,0.1928306525376759,0.0002623402531234664,1.0,1.0001267748295442,0.98964504662073,0.40754235106669395,0.20954325364221785,1.000865206764442,0.9993874968884232,1.0479407139486119,0.9896450466206762,1.000126774829311,0.21173576764490476,0.40749069150373773
sulcus,no-uptake,1.0,1.0,1.0,0.5,0.5,0.0003,0.0003,1.0,8.813125172919685,0.3066331850378217,8.50649198788185,0.8541305612917113,0.9635243852389738,0.8506491987881432,5.363132684232247e-05,-8.463742289355203e-06,0.09784027808703827,0.09784027808703827,0.04894695470673989,0.048893323380298385,5.363132644149726e-05,1.0,1.0001267748295442,0.98964504662073,0.40754235106669395,0.20954325364221785,1.0036717519716305,0.9995808724719902,1.132692990966941,0.9896450466206762,1.000126774829311,0.21173576764490476,0.40749069150373773
sulcus,no-uptake,10.0,1.0,1.0,0.5,0.5,0.003,0.0003,0.1,10.155699793715184,0.3182412295301904,9.837458564184995,0.9842471762195992,1.0000000000096212,0.9837458564184508,2.276751314829984e-06,-0.0008798402436508422,0.09283593954451044,0.09283593954451044,0.04641910814789178,0.0464168313966187,2.2767512730809125e-06,1.0,1.0001267748295442,0.98964504662073,0.40754235106669395,0.20954325364221785,1.0005096028540161,0.9999999998932271,1.0165227060272937,0.9896450466206762,1.000126774829311,0.21173576764490476,0.40749069150373773
sulcus,no-uptake,0.1,1.0,0.5,0.3,0.6,3e-05,0.0003,10.0,5.6061273637012885,0.055551839583308685,5.550575524117964,0.5553138198400237,0.5821700353810313,0.5550575524118001,9.983146561226153e-05,-1.0063048576647304e-06,0.1840447045351356,0.3680894090702712,0.09207226799964446,0.09197243653549116,9.98314641532938e-05,0.5,1.0000345287615406,0.9978754716714814,0.2794091140999635,0.19531316634045925,1.0003000258359702,0.9998384052064911,1.0488462554043698,0.9978754716714271,1.0000345287613075,0.19572899814172393,0.2793994667824004
